,Longitudes,Latitudes
275,-73.9917557,40.6913201
276,19.6608615,41.7862439
277,-71.060511,42.3554334
278,-6.561528515093897,52.336351699999994
279,-86.7742984,36.1622767
280,-74.0836453,4.6534649
281,31.045686,-17.831773
282,72.86376290300566,20.42000485
283,-95.3676974,29.7589382
284,-88.9905563,13.6550233
285,-73.95133506373483,40.7931208
286,21.326077621326135,46.1752827
287,-85.74387291522352,31.00981285
288,-80.9084670987562,33.5412752
289,-96.7968559,32.7762719
290,-118.755997,36.7014631
291,-87.6244212,41.8755616
292,-118.755997,36.7014631
293,85.33592585936545,27.74712465
294,77.2219388,28.6517178
295,-105.607716,38.7251776
296,10.4478313,51.1638175
297,73.6862571,24.578721
298,3.4216678647032372,6.427299
299,-77.4605399,38.3031837
300,-92.76991074467949,45.08938905
301,-100.397059,20.5954708
302,-3.6242449,37.133684
303,81.00273190598149,7.93288965
304,19.6608615,41.7862439
305,-104.984862,39.7392364
306,-81.655651,30.3321838
307,-122.0322895,37.3228934
308,-84.3902644,33.7489924
309,-1.2649062,52.5310214
310,-118.755997,36.7014631
311,-69.9699468,18.4357733
312,-80.8430827,35.2272086
313,-41.9294776,-12.285251
314,76.78414567016054,30.72984395
315,78.6677428,22.3511148
316,-77.0365427,38.8950368
317,-73.9497211,40.6526006
318,19.6608615,41.7862439
319,-8.1353519,39.6621648
320,-78.4927721,37.1232245
321,-122.419906,37.7790262
322,-121.890591,37.3361663
323,-94.4184896,39.5975986
324,72.878176,19.0785451
325,-79.3839347,43.6534817
326,-74.0060152,40.7127281
327,39.0494106,34.6401861
328,19.6608615,41.7862439
329,113.9498427285229,22.23635975
330,-3.73893,52.2928116
331,-81.6936772,41.4996574
332,30.5101269,50.4550987
333,67.0207055,24.8546842
334,23.21964608602439,58.5959044
335,-92.6650144,33.2115087
336,-81.1308434,8.559559
337,-0.0907633,51.5110562
338,-100.445882,39.7837304
339,77.2090057,28.6138954
340,27.47986945803316,-11.6853373
341,9.7385532,52.3744779
342,-104.984862,39.7392364
343,83.79672845365474,28.29635815
344,-85.8590603,41.6012796
345,-73.9497211,40.6526006
346,29.67030799540655,-1.1980545
347,-74.0060152,40.7127281
348,-118.3258554,34.1816482
349,-78.878292,35.0525759
350,-102.0077097,23.6585116
351,3.3941795,6.4550575
352,-80.19362,25.7741728
353,-79.0392919,35.6729639
354,141.0030991,43.1947853
355,73.8544541,18.521428
356,-58.4507102,-62.2215247
357,-117.1627728,32.7174202
358,-73.9497211,40.6526006
359,23.55997149113379,-6.11436025
360,3.3941795,6.4550575
361,33.9301963,-13.2687204
362,-77.7278831,40.9699889
363,-1.551014036389414,54.8044396
364,8.7525902,46.3351913
365,76.76326540816436,34.68003014999999
366,-84.1686932,41.0677672
367,78.6677428,22.3511148
368,-88.79432320417112,33.4386876
369,-117.8259819,33.6856969
370,-116.0372472,33.7219991
371,-0.5732063,51.2356068
372,1.5732033,42.5407167
373,-43.2093727,-22.9110137
374,-43.2093727,-22.9110137
375,-43.2093727,-22.9110137
376,-106.650985,35.0841034
377,-98.5456116,31.2638905
378,7.9999721,9.6000359
379,12.4217135,55.644111
380,73.902374,15.317396
381,-123.113952,49.2608724
382,-118.3692894,34.0923014
383,-72.5002608,44.5990718
384,34.8594762,30.8124247
385,55.1563147,25.0978966
386,-122.2270272,47.3826903
387,-117.91973507032726,33.813651199999995
388,8.7525902,46.3351913
389,-77.8194403,39.7317608
390,-102.4107493,34.2331373
391,-0.1276474,51.5073219
392,-53.2,-10.3333333
